ADDRESS_ID,STREET_NAME,HOUSE,HOUSE_TYPE,BUILDING
1,ԱՐԵՎԵԼՅԱՆ Փ.,2,Շ,7
2,ԱՐԵՎԵԼՅԱՆ Փ.,3,Շ,16
3,ԱՐԵՎԵԼՅԱՆ Փ.,3,Շ,33
4,ԱՐԵՎԵԼՅԱՆ Փ.,3,Շ,38
5,ԲԱԳՐԱՏՈՒՆՅԱՑ ՕՂԱԿ,2,Շ,2
6,ԲԱԳՐԱՏՈՒՆՅԱՑ ՕՂԱԿ,5,Շ,10
7,ԲԱԳՐԱՏՈՒՆՅԱՑ ՕՂԱԿ,5,Շ,11
8,ԲԱԳՐԱՏՈՒՆՅԱՑ ՕՂԱԿ,5,Շ,8
9,ԲԱԳՐԱՏՈՒՆՅԱՑ ՕՂԱԿ,5,Շ,9
10,ԲԱԳՐԱՏՈՒՆՅԱՑ ՕՂԱԿ,6,Շ,2
11,ԲԱԳՐԱՏՈՒՆՅԱՑ ՕՂԱԿ,8,Շ,21
12,ԲԱԳՐԱՏՈՒՆՅԱՑ ՕՂԱԿ,8,Շ,34
13,ԲԱԳՐԱՏՈՒՆՅԱՑ ՕՂԱԿ,8,Շ,38
14,ԲԱՂՐԱՄՅԱՆ Փ.,17Ա,Տ,
15,ԲԱՂՐԱՄՅԱՆ Փ.,33,Տ,
16,ԲԱՂՐԱՄՅԱՆ Փ.,36,Տ,
17,ԲԱՂՐԱՄՅԱՆ Փ.,39Ա,Տ,
18,ԲԱՂՐԱՄՅԱՆ Փ.,56,Տ,
19,Լ. ՄԱԴՈՅԱՆ Փ.,103,Տ,
20,Լ. ՄԱԴՈՅԱՆ Փ.,107,Տ,
21,ԼԱԶՈՅԻ Փ.,14,Տ,
22,ԲԵՌՆԱԿԻՐՆԵՐԻ 1 ՆՐԲ.,11Ա,Տ,
23,ԲՈՐՅԱՆ 1 ԱՆՑՂ.,7,Տ,
24,ԲՈՐՅԱՆ 2 ՆՐԲ.,6,Տ,
25,Ա. ԳՈԳՈՒՆՑԻ Փ.,9,Շ,3
26,Ա. ԳՈԳՈՒՆՑԻ Փ.,9,Շ,6
27,ԲՈՒԼՎԱՐԱՅԻՆ 1 ՓԿՂ.,9Ա,Տ,
28,ԲՈՒԼՎԱՐԱՅԻՆ 2 ՆՐԲ.,15,Տ,
29,ԲՈՒԼՎԱՐԱՅԻՆ Փ.,3,Շ,6
30,ԲՈՒԼՎԱՐԱՅԻՆ Փ.,3/1,Տ,
